1	\N	Allegato N. 1 Agli Articoli del Postulatore. Vol 1	\N	\N	\N	t	f
2	\N	Allegato N. 1 Agli Articoli del Postulatore. Vol 2	\N	\N	\N	t	f
3	\N	Allegato N. 2 Agli Articoli del Postulatore.	\N	\N	\N	t	f
5	\N	A solas con Dios	\N	12	\N	t	f
74	\N	Barcas y redes	\N	13	\N	t	f
75	\N	Canciones	\N	\N	\N	t	f
76	\N	Cartas de Familia I	\N	5	\N	t	f
77	\N	Cartas de Familia II	\N	5	\N	t	f
78	\N	Cartas de Familia III	\N	5	\N	t	f
79	\N	Cartas de Familia IV	\N	5	\N	t	f
80	\N	Cartas de Familia IV (en inglés)	\N	5	\N	t	f
81	\N	Cartas de Familia V	\N	5	\N	t	f
82	\N	Catequesis del Padre 1983	\N	13	\N	t	f
83	\N	Catequesis del Padre 1987	\N	13	\N	t	f
84	\N	Catequesis del Padre 1988	\N	13	\N	t	f
85	\N	Catequesis del Padre 1989	\N	13	\N	t	f
86	\N	Catequesis en América I	\N	13	\N	t	f
87	\N	Catequesis en América II	\N	13	\N	t	f
88	\N	Catequesis en América III	\N	13	\N	t	f
89	\N	CD Canciones	\N	6	\N	t	f
90	\N	CD Cantus Missae	\N	6	\N	t	f
91	\N	CD Charlas aspirantes	\N	9	t	t	f
96	\N	Charlas para círculos de cp	\N	9	t	t	f
104	\N	Colección de Crónicas	\N	7	\N	t	f
105	\N	Colección de Obras	\N	7	\N	t	f
106	\N	Como los antiguos romeros	\N	13	\N	t	f
109	\N	Crecer para adentro	\N	12	\N	t	f
110	\N	Crónicas	\N	7	\N	t	f
111	\N	Cuadernos 1	\N	8	\N	t	f
112	\N	Cuadernos 10	\N	8	\N	t	f
113	\N	Cuadernos 11	\N	8	\N	t	f
114	\N	Cuadernos 12	\N	8	\N	t	f
115	\N	Cuadernos 2	\N	8	\N	t	f
116	\N	Cuadernos 3	\N	8	\N	t	f
117	\N	Cuadernos 4	\N	8	\N	t	f
118	\N	Cuadernos 5	\N	8	\N	t	f
119	\N	Cuadernos 6	\N	8	\N	t	f
108	\N	Como un personaje más II	\N	13	f	t	f
57	Carta de nuestro Padre, 9.I.51	B 55	\N	4	f	t	t
6	Programa de Formación Inicial	B 10	\N	3	t	t	t
46	Consagraciones	B 19	\N	\N	t	t	t
98	\N	Crónica Consummati in Unum (III-IV.1994)	\N	13	f	t	f
41	Experiencias de Práctica Pastoral	B 136	Destruidos el X.12 (cr 9654/12)	\N	t	f	t
99	\N	Crónica El Padre (Roma, Agosto de 1975)	\N	13	f	t	f
100	\N	Crónica El Padre (Roma, Julio de 1975)	\N	13	f	t	f
101	\N	Crónica La elección del Padre (IX de 1975)	\N	13	f	t	f
102	\N	Crónica La elección del Padre (V.1994)	\N	13	f	t	f
103	\N	Crónica Laus Deo (XII.82)	\N	13	f	t	f
120	\N	Cuadernos 7	\N	8	\N	t	f
121	\N	Cuadernos 8	\N	8	\N	t	f
122	\N	Cuadernos 9	\N	8	\N	t	f
8	Carta de Padre, XII.81	B 102	\N	4	t	t	t
9	Carta de Padre, XI.82	B 103	\N	4	t	t	t
4	\N	Artículos del Postulador	\N	13	f	t	t
10	Statuta	B 104	\N	10	t	t	t
11	Carta de Padre, XII.85	B 106	\N	4	t	t	t
12	Carta de Padre, VI.87	B 107	\N	4	t	t	t
16	\N	B 10, aptdo I	\N	3	t	t	t
17	\N	B 10, aptdo II	\N	3	t	t	t
18	\N	B 10, aptdo III	\N	3	t	t	t
15	Guiones de Doct. Católica	B 10, aptdo IV	\N	3	t	t	t
14	Ratio Institutionis Sacerdotalis (2007)	B 109	\N	10	t	t	t
19	Ratio Institutionis (2007)	B 110	\N	10	t	t	t
20	Carta de Padre, I.90	B 112	\N	4	t	t	t
21	De Spiritu	B 113	\N	10	t	t	t
22	Carta de Padre, III.92	B 114	\N	4	t	t	t
23	Carta de Padre, I.93	B 115	\N	4	t	t	t
24	Carta de Padre, I.V.94	B 116	\N	4	t	t	t
25	Carta de Padre, XI.95	B 117	\N	4	t	t	t
26	Carta de Padre, II.97	B 118	\N	4	t	t	t
28	Ordinatio Studiorum (2007)	B 120	\N	10	t	t	t
29	Carta de Padre, VI.99	B 121	\N	4	t	t	t
30	Decretum Generale 1/99	B 122	\N	10	t	t	t
31	Decretum Generale 2/99	B 123	\N	10	t	t	t
32	Decretum Generale 3/99	B 124	\N	10	t	t	t
33	Decretum Generale 4/99	B 125	\N	10	t	t	t
34	Decretum Generale 5/99	B 126	\N	10	t	t	t
35	Decretum Generale 6/99	B 127	\N	10	t	t	t
36	Reglamento de las Asambleas Regionales	B 128	\N	10	t	t	t
37	Decretum Generale 1/2000	B 129	\N	10	t	t	t
38	Carta de Padre 9.1.02	B 130	\N	4	t	t	t
39	Carta de Padre 28.XI.02	B 131	\N	4	t	t	t
40	Carta de Padre, 6.X.04	B 134	\N	4	t	t	t
42	Carta de Padre, 17.V.10	B 137	\N	4	t	t	t
43	Carta de Padre, 2.X.11	B 138	\N	4	t	t	t
44	Carta de Padre, IX.12	B 139	\N	4	t	t	t
45	Caeremoniale	B 16	\N	\N	t	t	t
47	Regulae Internae	B 20	\N	\N	t	t	t
48	Catecismo de la Obra	B 21	\N	\N	t	t	t
49	Construcciones 1 (oratorios)	B 24	\N	\N	t	t	t
51	Construcciones 4 (Residencias)	B 27	\N	\N	t	t	t
52	Construcciones 5 (casas de retiro)	B 28	\N	\N	t	t	t
53	Orationes ad petendas vocationes	B 30	\N	\N	t	t	t
55	Carta de nuestro Padre, 24.X.42	B 47	\N	4	t	t	t
56	Societas Sacerdotalis	B 5	\N	10	t	t	t
58	Adsistentes Ecclesiastici	B 6	\N	10	t	t	t
59	Carta de nuestro Padre, 8.VIII.56	B 63	\N	4	t	t	t
60	Carta de nuestro Padre, 29.IX.57	B 64	\N	4	t	t	t
62	Instrucciones (I y II)	B 75	\N	\N	t	t	t
63	Charla a las nax	B 87	\N	4	t	t	t
64	Carta de nuestro Padre, 28.III.73	B 89	\N	4	t	t	t
65	Carta de nuestro Padre, 17.VI.73	B 90	\N	4	t	t	t
66	Carta de nuestro Padre, 14.II.74	B 91	\N	4	t	t	t
67	Carta del Padre, VI.75	B 93	\N	4	t	t	t
68	Carta del Padre, IX.75	B 94	\N	4	t	t	t
69	Carta del Padre, VI.76	B 95	\N	4	t	t	t
70	Carta del Padre, XII.76	B 96	\N	4	t	t	t
71	Carta del Padre, I.78	B 97	\N	4	t	t	t
73	Carta del Padre, 2-II-79	B 99	\N	4	t	t	t
123	\N	Curso Básico de formación	\N	9	t	t	f
126	\N	DVD "Con el Padre en Viaró"	\N	6	\N	t	f
93	\N	CD Impresos	Eliminat 22-2-21	6	t	f	f
127	\N	En diálogo con el Señor	\N	12	\N	t	f
132	\N	Hogares luminosos y alegres	\N	12	\N	t	f
133	\N	Hojas Informativas (XII.48-X.55)	\N	\N	\N	t	f
134	\N	Hojas Informativas (XII.48-XI.53)	\N	\N	\N	t	f
135	\N	Indice de cn y obr (1954-2004)	\N	7	\N	t	f
136	\N	Indice de Meditaciones	\N	11	\N	t	f
137	\N	La beatificación de nuestro Padre	\N	13	\N	t	f
138	\N	La canonización de nuestro Padre	\N	13	\N	t	f
139	\N	Meditaciones I	\N	11	\N	t	f
140	\N	Meditaciones II	\N	11	\N	t	f
141	\N	Meditaciones III	\N	11	\N	t	f
142	\N	Meditaciones IV	\N	11	\N	t	f
143	\N	Meditaciones IV (en inglés)	\N	11	\N	t	f
144	\N	Meditaciones V	\N	11	\N	t	f
145	\N	Meditaciones VI	\N	11	\N	t	f
146	\N	Meditaciones VII	\N	11	\N	t	f
147	\N	Mientras nos hablaba en el camino	\N	12	\N	t	f
148	\N	Obras	\N	7	\N	t	f
150	\N	Recuerdos de nuestro Padre	\N	13	\N	t	f
107	\N	Como un personaje más I	\N	13	f	t	f
124	\N	Dos meses de catequesis I	\N	13	f	t	f
125	\N	Dos meses de catequesis II	\N	13	f	t	f
156	\N	Cartas de Familia VI	\N	5	f	t	f
157	\N	Meditaciones V (en inglés)	\N	11	f	t	f
97	\N	Crónica del Centenario (Enero 2002)	\N	13	f	t	f
159	\N	Experiencias para colaborar en Crónica y Obras	\N	10	t	t	t
152	\N	Vademécum 28-XI-2000 Indice	\N	10	f	f	f
162	\N	Cuadernos 12 (en inglés)	\N	8	f	t	f
161	\N	Cartas de Familia V (en inglés)	\N	5	f	t	f
160	\N	Experiencias de los Vicarios, 2014	\N	10	t	t	t
153	Publicaciones internas	Vademécum 9-1-87	Dado de baja con cr 4552/13	10	t	f	t
164	\N	La beatificación de D. Álvaro	\N	13	f	t	f
167	\N	Cuadernos 2 (en inglés)	\N	8	f	t	f
166	\N	Barcas y redes (en inglés)	\N	13	f	t	f
168	\N	Cuadernos 3 (en inglés)	\N	8	f	t	f
169	\N	Cuadernos 7 (en inglés)	\N	8	f	t	f
131	\N	Exp. sobre ceremonias litúrgicas 2004	\N	10	t	f	f
170	\N	Experiencias sobre celebraciones litúrgicas 2016	\N	10	t	t	f
172	\N	DVD "El nostre Pare a Bell-lloc"	\N	\N	t	t	f
174	Carta del Padre, 14.II.2017	B 141	\N	4	t	t	t
175	\N	Crónica Cor Unum e Anima Una (XII.16)	\N	13	f	t	f
176	\N	Crónica La elección del Padre (Enero-Febrero de 2017)	\N	13	f	t	f
177	\N	Cartas de Familia VII	\N	5	f	t	f
95	(ref.dlb 5073/04)	Celebraciones en familia	\N	10	t	f	f
173	\N	Celebraciones en familia	\N	10	t	t	t
178	Carta del Padre, 9.I.2018	B 142	\N	4	t	t	t
171	\N	Experiencias sobre oratorios. Cuidado y preparación para el culto	\N	10	t	t	t
179	\N	Cartas de Familia I (en inglés)	\N	5	f	t	f
180	\N	Cuadernos 10 (en inglés)	\N	5	f	t	f
7	Carta de Padre, I.80	B 100	\N	4	t	t	t
13	Carta de Padre, IX.88	B 108	\N	4	t	t	t
27	Regl. Gobierno de la Delegación	B 119	\N	10	t	t	t
163	Carta del Padre, XI.15	B 140	\N	4	t	t	t
50	Construcciones 3 (Administraciones)	B 26	\N	\N	t	t	t
72	Carta del Padre, 24-IX-78	B 98	\N	4	t	t	t
149	\N	Perfil Cron.-Esp. de don Álvaro	\N	13	f	t	t
182	\N	Crónica Nuestro Padre (VI.76)	\N	13	f	t	f
151	Liturgia	Vademécum 2-5-87	\N	10	t	f	f
183	Carta del Padre, 1-XI-2019	B 143	\N	4	t	t	t
184	\N	Cartas de Familia VIII	\N	5	f	t	f
185	\N	Crónica 2019 (en inglés)	\N	13	f	t	f
186	\N	Cartas de Familia VI (en inglés)	\N	5	f	t	f
187	\N	Como los antiguos romeros (en inglés)	\N	13	f	t	f
188	\N	Cuadernos 6 (en inglés)	\N	8	f	t	f
189	\N	Cuadernos 9 (en inglés)	\N	8	f	t	f
191	Carta del Padre, 28-X-20	B 144	\N	4	t	t	t
192	\N	Cartas de Familia VII (en inglés)	\N	5	f	t	f
193	\N	Cartas de Famlia VIII (en inglés)	\N	5	f	t	f
181	\N	Experiencias Regionales 2012 - Anexo	\N	10	t	f	t
129	\N	Experiencias regionales 2012	\N	10	t	f	t
194	\N	Experiencias regionales 2020	\N	10	t	t	t
195	\N	Experiencias regionales 2020 - Anexo	\N	10	t	t	t
92	\N	CD Guiones Doctrinales de Actualidad	Eliminat el 22-2-21	9	t	f	f
94	\N	CD Programes stgr 28.IV.09	Eliminat 22-2-21	6	f	f	f
198	\N	Meditaciones VII (en francés)	\N	11	f	t	f
214	Carta del Padre XI.15	B 140 (en francés)	\N	4	t	t	t
200	\N	Cuadernos 7 (en francés)	\N	8	f	t	f
201	\N	Cuadernos 8 (en italiano)	\N	8	f	t	f
202	\N	Cuadernos 11 (en alemán)	\N	8	f	t	f
203	\N	Cuadernos 12 (en francés)	\N	8	f	t	f
215	\N	Cuadernos 8 (en alemán)	\N	8	f	t	f
199	\N	Cuadernos 5 (en italiano)	\N	8	f	t	f
207	Carta del Padre, 2.X.2011	B 138 (en francés)	\N	4	t	t	t
208	Carta del Padre, 29-IX-2012	B 139 (en francés)	\N	4	t	t	t
209	Carta del Padre, 14-II-2017	B 141 (en francés)	\N	4	t	t	t
190	Carta de nuestro Padre, I.59	B 66 (en inglés)	\N	4	t	t	t
206	Carta del Padre, 17.V.2010	B 137 (en francés)	\N	4	t	t	t
210	Carta del Padre, 9.I.2018	B 142 (en francés)	\N	4	t	t	t
211	Carta del Padre, 1-XI-2019	B 143 (en francés)	\N	4	t	t	t
213	Carta del Padre, 19-III-22	B 145	\N	4	t	t	t
212	\N	Experiencias de formación en el ámbito local	\N	10	t	t	t
130	\N	Experiencias sobre la sss+	\N	10	t	f	t
223	\N	Meditaciones VII (en italiano)	\N	11	f	t	f
197	\N	Meditaciones V (en italiano)	\N	11	f	t	f
205	\N	Como los antiguos romeros (en italiano)	\N	13	f	t	f
196	\N	Crecer para adentro (en francès)	\N	12	f	t	f
204	\N	Mientras nos hablaba en el camino (en italiano)	\N	12	f	t	f
216	\N	Hogares luminosos y alegres (en francés)	\N	12	f	t	f
217	\N	Bright and cheerful home (Hogares...)	\N	12	f	t	f
218	\N	In dialogo con in Signore	\N	12	f	t	f
219	\N	Meditaciones VI (en inglés)	\N	11	f	t	f
220	\N	Meditaciones II (en italiano)	\N	11	f	t	f
221	\N	Meditaciones III (en italiano)	\N	11	f	t	f
222	\N	Meditaciones VI (en italiano)	\N	11	f	t	f
128	\N	Experiencias locales 2010	\N	10	t	t	t
158	ref. cr 6/13	Celebraciones en familia	\N	10	t	f	f
224	\N	Meditaciones VII (en alemán)	\N	11	f	t	f
225	Carta del Padre, 16-II-2023	B 146	\N	4	t	t	t
226	\N	Barcas y redes (en italià)	\N	13	f	t	f
54	Themata pro examinibus	B 31	\N	\N	t	t	t
61	Carta de nuestro Padre, I.59	B 66	Destruits tots els exemplars menys el de sgMasia que no es troba.	4	t	f	t
