30026	1506	5188
30027	1506	9456
30028	1506	9472
30029	1506	9685
30030	1506	9649
30031	1506	9668
30032	1506	9730
30033	1506	9803
30034	1506	10288
30035	1506	11791
28145	\N	4771
28146	\N	4769
28147	\N	4768
28148	\N	4770
28149	\N	4782
28150	\N	4780
28151	\N	4777
28152	\N	4779
28153	\N	4776
28154	\N	4774
28155	\N	4785
28156	\N	4783
28157	\N	4784
28158	\N	4778
28159	\N	4781
30036	1507	1139
30037	1507	1566
30038	1507	1906
30039	1507	1916
30040	1507	1897
30041	1507	2027
30042	1507	2356
30043	1507	3200
30044	1507	9418
30045	1507	9503
30046	1507	9551
30047	1507	9621
30048	1507	10494
30049	1507	11011
30050	1507	11434
30051	1507	11691
30052	1507	9435
30053	1507	11893
30054	1507	1285
30055	1507	12788
30056	1507	12927
30057	1509	1901
30058	1509	1917
30059	1509	10948
30060	1509	11440
30061	1509	11693
30062	1509	11890
30063	1509	12795
30064	1509	1141
30065	1509	12934
28827	1420	4611
28828	1420	4609
28829	1420	4606
28830	1420	4605
28831	1420	4604
28832	1420	4599
28833	1420	4598
28834	1420	4596
28835	1420	4595
28836	1420	4585
28837	1420	4575
28838	1420	4638
28839	1420	4635
28840	1420	4633
28841	1420	4584
28842	1421	4632
28843	1421	4456
28844	1421	4457
28845	1421	4458
28846	1421	4459
28847	1421	4461
28848	1421	4462
28849	1421	4463
28850	1421	4464
28851	1421	4631
28852	1421	4630
28853	1421	4629
28854	1421	4628
28855	1421	4657
28856	1421	4658
28866	1423	4611
28867	1423	4609
28868	1423	4606
28869	1423	4605
28870	1423	4604
28871	1423	4599
28872	1423	4598
28873	1423	4596
28874	1423	4595
28875	1423	4585
28876	1423	4575
28877	1423	4638
28878	1423	4635
28879	1423	4633
28880	1423	4584
28881	1424	4632
28882	1424	4456
28883	1424	4457
28884	1424	4458
28885	1424	4459
28886	1424	4461
28887	1424	4462
28888	1424	4463
28889	1424	4464
28890	1424	4631
28891	1424	4630
28892	1424	4629
28893	1424	4628
28894	1424	4657
28895	1424	4658
28896	1425	1901
28897	1425	1917
28898	1425	10948
28899	1425	11440
28900	1425	11693
28901	1425	11890
28902	1425	12795
28903	1425	1141
28904	1425	12934
28905	1426	4663
28906	1426	4666
28907	1426	4661
28908	1426	4660
28909	1426	4659
28910	1426	4668
28911	1426	4662
28912	1426	4751
28913	1426	4749
28914	1426	4748
28915	1426	4745
28916	1426	4744
28917	1426	4753
28918	1426	4679
28919	1426	4752
28920	1427	4675
28921	1427	4674
28922	1427	4672
28923	1427	4671
28924	1427	4670
28925	1427	4669
28926	1427	4667
28927	1427	4698
28928	1427	4697
28929	1427	4695
28930	1427	4678
28931	1427	4677
28932	1427	4676
28933	1427	4694
28934	1427	4673
28935	1428	1914
28936	1428	6092
28937	1428	11439
28938	1428	11692
28939	1428	11889
28940	1428	12794
28941	1428	1178
28942	1428	11015
28943	1428	12933
